name,area,coordinates
"Black Moss Pot,Lake District"
"Blue Pool,Dorset"
"Brimham Rocks,Yorkshire"
"Buttermere,Lake District"
"Camber Sands,East Sussex"
"Clevedon Marine Lake,Somerset"
"Coniston Water,Lake District"
"Crickhowell River Usk,Wales"
"Crummock Water,Lake District"
"Cuckmere Haven,East Sussex"
"Derryclare Lough,Ireland"
"Derwent Reservoir,County Durham"
"Derwentwater,Lake District"
"Dovedale,Derbyshire"
"Durdle Door,Dorset"
"Easedale Tarn,Lake District"
"Fairy Pools,Isle of Skye, Scotland"
"Frensham Ponds,Surrey"
"Golitha Falls,Cornwall"
"Grasmere,Lake District"
"Hampstead Heath Ponds,London"
"Helford River,Cornwall"
"Holkham Bay,Norfolk"
"Ladybower Reservoir,Derbyshire"
"Lake District,Cumbria"
"Lake Windermere,Lake District"
"Linhope Spout,Northumberland"
"Llyn Cau,Wales"
"Llyn Cwm Llwch,Wales"
"Llyn Dinas,Snowdonia"
"Llyn Gwynant,Snowdonia"
"Llyn Padarn,Wales"
"Llynnau Cregennen,Snowdonia"
"Loch A'an,Scotland"
"Loch Ard,Scotland"
"Loch Assynt,Scotland"
"Loch Awe,Scotland"
"Loch Ba,Scotland"
"Loch Beinn a' Mheadhoin,Scotland"
"Loch Chon,Scotland"
"Loch Doon,Scotland"
"Loch Dunmore,Scotland"
"Loch Earn,Scotland"
"Loch Etive,Scotland"
"Loch Faskally,Scotland"
"Loch Fyne,Scotland"
"Loch Garten,Scotland"
"Loch Garten,Scotland"
"Loch Hourn,Scotland"
"Loch Inch,Scotland"
"Loch Leven,Scotland"
"Loch Lochy,Scotland"
"Loch Lomond,Scotland"
"Loch Morlich,Scotland"
"Loch Muick,Scotland"
"Loch Quoich,Scotland"
"Loch Rannoch,Scotland"
"Loch Shiel,Scotland"
"Loch Sunart,Scotland"
"Loch Tay,Scotland"
"Loch Tay,Scotland"
"Loch Tummel,Scotland"
"Loch Tummel,Scotland"
"Loch Vaa,Scotland"
"Loch Venachar,Scotland"
"Loch an Eilein,Scotland"
"Loch an Eilein,Scotland"
"Loch an Eilein,Scotland"
"Lochan Urr,Scotland"
"Lochan a' Chlaidheimh,Scotland"
"Lulworth Cove,Dorset"
"Ouseburn,Newcastle upon Tyne"
"Padley Gorge,Derbyshire"
"Port Gaverne,Cornwall"
"Port Meadow,Oxfordshire"
"Portencross,Ayrshire"
"River Almond,Scotland"
"River Avon,Bath"
"River Awe,Scotland"
"River Ayr,Scotland"
"River Brathay,Lake District"
"River Brora,Scotland"
"River Brue,Somerset"
"River Bure,Norfolk"
"River Coe,Scotland"
"River Crouch,Essex"
"River Dart,Devon"
"River Dee,Cheshire"
"River Dee,Wales"
"River Derwent,Derbyshire"
"River Eden,Cumbria"
"River Ehen,Cumbria"
"River Feshie,Scotland"
"River Garry,Scotland"
"River Itchen,Hampshire"
"River Llugwy,Wales"
"River Loy,Scotland"
"River Medina,Isle of Wight"
"River Oich,Scotland"
"River Ouse,Sussex"
"River Spey,Scotland"
"River Stour,Dorset"
"River Swale,Yorkshire"
"River Tavy,Devon"
"River Tay,Scotland"
"River Tees,County Durham"
"River Teign,Devon"
"River Thames,Oxfordshire"
"River Tummel,Scotland"
"River Wensum,Norfolk"
"River Wey,Surrey"
"River Wharfe,Yorkshire"
"River Wye,Herefordshire"
"Rydal Water,Lake District"
"St. Mary's Loch,Scotland"
"St. Nectan's Kieve,Cornwall"
"Stickle Tarn,Lake District"
"Strangford Lough,Northern Ireland"
"Tarn Hows,Lake District"
"The Serpentine,London"
"Three Cliffs Bay,Swansea"
"Ullswater,Lake District"
"Wast Waterfall,Lake District"
"Wastwater,Lake District"
"Whitewater Dash,Scotland"
